participant_id,video_id,survey_batch_id,age,gender,race,education,income,sen_seek,human_perceived_msv,predicted_msv,cot_reasoning,human_emotional,human_arousing,human_involving,human_exciting,human_powerful_impact,human_stimulating,human_strong_visual,human_strong_soundeffect,human_dramatic,human_graphic,human_creative,human_goosebump,human_intense,human_strong_soundtrack,human_novel,human_unique,human_unusual,ai_emotional,ai_arousing,ai_involving,ai_exciting,ai_powerful_impact,ai_stimulating,ai_strong_visual,ai_strong_soundeffect,ai_dramatic,ai_graphic,ai_creative,ai_goosebump,ai_intense,ai_strong_soundtrack,ai_novel,ai_unique,ai_unusual
8,111,1_90,37,Male,White or Caucasian,5.0,2.0,2.25,3.470588235,2.0588235294117645,"1. The video depicts a common, wholesome holiday activity: a mother and child decorating a Christmas tree. It uses a time-lapse technique and a festive pop soundtrack.
2. As a 37-year-old male with a lower sensation-seeking score (2.25), I would likely find this video pleasant and heartwarming but not particularly stimulating or ""sensational."" It lacks the high-energy or unique elements that would drive high ratings on a sensation scale.
3. The ratings reflect the video's low intensity, lack of novelty, and standard production value. While the visuals are clear and the music is upbeat, they do not create a powerful or dramatic impact.",4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,3,2,2,2,2,2,3,2,2,1,3,1,1,3,2,2,2
9,111,1_90,23,Male,White or Caucasian,1.0,1.0,3.625,1.352941176,2.5294117647058822,"1. The video is a time-lapse of a woman and a young boy decorating a Christmas tree in a modern living room, set to a remix of ""Last Christmas."" It features festive visual effects like sparkling lights overlaid on the footage.
2. A 23-year-old male with a moderate-to-high sensation-seeking score (3.62) would likely find the video pleasant and festive but relatively ordinary. The fast-paced editing of the time-lapse provides some visual stimulation, and the upbeat music adds energy, but the subject matter lacks the high-intensity or ""edgy"" content that typically drives high sensation-seeking scores.
3. The ratings reflect a moderate level of engagement. The soundtrack and visual energy of the time-lapse push scores for ""exciting"" and ""stimulating"" toward the middle of the scale, while the commonality of the activity (decorating a tree) keeps novelty and dramatic impact scores lower.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,3,2,3,4,2,4,3,2,2,1,3,2,2,4,2,2,2
30,111,1_90,25,Female,White or Caucasian,5.0,3.0,2.0,1.764705882,2.0,"1. The video depicts a wholesome, domestic scene of a woman and a child decorating a Christmas tree, set to a festive pop song. It uses common social media editing techniques like time-lapse and sparkling overlays.
2. As a 25-year-old female with a low sensation-seeking score (2.00), the respondent likely finds this content pleasant, relatable, and comforting. However, because she is not a high sensation-seeker, she is unlikely to perceive this relatively calm and routine activity as ""sensational,"" ""intense,"" or ""novel.""
3. The ratings reflect the low intensity and high familiarity of the content. While the video is aesthetically pleasing and ""sweet,"" it lacks the dramatic tension, novelty, or high-arousal triggers that would lead to high scores on these specific scales.",3.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3,2,3,2,2,2,3,2,1,1,3,1,1,3,2,2,1
37,111,1_90,39,Female,White or Caucasian,5.0,2.0,3.125,3.0,2.5294117647058822,"1. The video depicts a common, heartwarming holiday activity: a mother and son decorating a Christmas tree. The editing is fast-paced with festive music and light visual effects.
2. As a 39-year-old woman with a moderate sensation-seeking score, I find the video pleasant and relatable, evoking a sense of holiday warmth. However, it lacks the high-intensity or unique elements that would make it truly ""sensational"" or ""novel.""
3. The ratings reflect the video's high emotional resonance and strong soundtrack, contrasted with its low scores in categories like intensity, graphicness, and novelty, as the content is very traditional and familiar.",2.0,3.0,3.0,2.0,3.0,3.0,5.0,1.0,5.0,2.0,4.0,1.0,3.0,6.0,3.0,3.0,2.0,4,2,3,3,2,3,3,2,2,1,3,2,2,5,2,2,2
48,111,1_90,23,Female,White or Caucasian,5.0,6.0,3.125,1.470588235,2.411764705882353,"1. The video depicts a woman and a young boy decorating a Christmas tree in a modern, well-lit home. It uses a time-lapse style and is set to an upbeat cover of the song ""Last Christmas,"" with added digital sparkle effects to enhance the festive mood.
2. As a 23-year-old female with a moderate sensation-seeking score, I would find this video pleasant, wholesome, and aesthetically pleasing. However, because this type of holiday content is extremely common on social media, it wouldn't strike me as particularly novel, intense, or groundbreaking. It evokes a mild sense of warmth and holiday spirit rather than strong excitement or a powerful emotional response.
3. The ratings reflect the video's nature as high-quality but standard lifestyle content. Novelty and Dramatic Impact scores are low because the activity is a common tradition. Emotional Arousal scores are moderate, reflecting the upbeat music and the sweet family interaction, but they remain on the lower end of the scale because the video lacks high-stakes or intense sensory stimulation.",2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,4,2,3,3,2,3,3,2,2,1,3,1,2,4,2,2,2
54,111,1_90,28,Female,White or Caucasian,5.0,5.0,2.875,3.764705882,1.7058823529411764,"1. The video depicts a common holiday activity: a mother and child decorating a Christmas tree to a popular holiday song. It uses standard social media editing techniques like time-lapses and digital overlays.
2. As a 28-year-old female with a moderate sensation-seeking score, I would likely find this content ""cute"" or ""wholesome"" but ultimately very conventional. It lacks the high-energy or unique elements that would appeal to a high sensation seeker, but it isn't off-putting.
3. The ratings reflect the low levels of novelty and drama. The soundtrack is rated slightly higher because the music is a well-known classic that fits the theme perfectly, and the visuals are clear and pleasant, though not ""strong"" in a sensational sense.",4.0,4.0,2.0,5.0,1.0,4.0,4.0,3.0,5.0,4.0,6.0,5.0,4.0,5.0,2.0,2.0,4.0,3,1,2,2,1,2,3,2,1,1,2,1,1,4,1,1,1
94,111,1_90,35,Female,Asian,3.0,nan,2.5,4.294117647,2.2941176470588234,"1. The video depicts a woman and a young boy decorating a Christmas tree in a time-lapse or stop-motion style, set to a cover of the song ""Last Christmas."" It features festive digital overlays like sparkles and falling snow.
2. As a 35-year-old woman with a moderate sensation-seeking score (2.50), I find this video wholesome, relatable, and pleasant. It evokes a warm holiday feeling but is not particularly thrilling or groundbreaking. The editing is nice, but the theme is very common for the season.
3. I am mapping my reactions by giving lower scores to items related to intensity, drama, and novelty, as the content is quite standard for social media. I am giving moderate scores to creativity and the soundtrack because the editing is well-executed and the music is a recognizable holiday classic.",4.0,7.0,6.0,2.0,6.0,6.0,7.0,4.0,2.0,4.0,5.0,2.0,2.0,7.0,1.0,6.0,2.0,3,2,3,2,2,3,3,2,2,1,4,1,1,4,2,2,2
5,47,1_32,53,Female,White or Caucasian,3.0,4.0,1.75,5.058823529,2.176470588235294,"1. The video is a public service announcement from UNICEF about internet safety, using a hand-drawn animation style where various characters hold signs describing common online mistakes. It is educational, calm, and visually simple.
2. As a 53-year-old with a very low sensation-seeking score (1.75), I would find this video pleasant and informative but not at all intense or exciting. I appreciate the clear, helpful message and the creative art style, but it doesn't provoke a strong emotional or physical reaction.
3. Because I am not a sensation-seeker, I will rate the high-intensity categories (like arousing, intense, and goosebumps) very low. I will give moderate scores to ""creative"" and ""unique"" because the animation style is nice, but overall the video is quite low-key.",4.0,5.0,6.0,4.0,6.0,6.0,7.0,4.0,5.0,4.0,7.0,1.0,5.0,4.0,6.0,6.0,6.0,2,1,3,2,2,2,3,2,2,1,4,1,1,3,3,3,2
6,47,1_32,35,Female,White or Caucasian,6.0,6.0,1.75,5.0,2.5294117647058822,"1. The video is a UNICEF public service announcement using hand-drawn illustrations to highlight common online safety mistakes. It has a clear, educational message and uses a rhythmic, upbeat soundtrack.
2. As a 35-year-old female with a graduate degree and a very low sensation-seeking score (1.75), I would likely appreciate the clear, socially responsible message and the artistic, non-aggressive presentation. I would find it informative and well-intentioned, but not particularly exciting, intense, or emotionally overwhelming.
3. I map this reaction to the scales by giving low scores to items related to intensity, arousal, and drama (like ""intense,"" ""arousing,"" and ""goosebump"") while giving moderate scores to items related to the creative presentation and the clarity of the message (like ""creative"" and ""unique"").",4.0,5.0,6.0,5.0,6.0,6.0,5.0,4.0,4.0,6.0,6.0,3.0,4.0,4.0,6.0,5.0,6.0,3,2,3,2,3,2,3,2,2,1,4,1,2,3,3,4,3
7,47,1_32,35,Female,White or Caucasian,2.0,nan,1.25,4.117647059,1.6470588235294117,"1. **Video Characteristics:** The video is a UNICEF public service announcement using simple, hand-drawn illustrations and stop-motion animation. It addresses common internet safety mistakes in a calm, educational, and reflective manner. The music is rhythmic but not overwhelming, and the overall tone is gentle and advocacy-focused.
2. **Respondent Profile:** As a 35-year-old with a very low sensation-seeking score (1.25), I prefer content that is straightforward, predictable, and low-intensity. I likely appreciate the clear message and the non-threatening visual style, but I am not easily ""aroused"" or ""excited"" by media. I would find this video informative but very low on the sensationalism scale.
3. **Mapping to Scales:** Because of my low sensation-seeking preference, I will rate items related to intensity, excitement, and drama very low (1s and 2s). The creative aspect of the hand-drawn art might earn a slightly higher score (3) for being a bit different from standard digital ads, but overall, the video is perceived as undramatic and unemotional.",2.0,2.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,1.0,6.0,1.0,3.0,6.0,5.0,6.0,5.0,2,1,2,1,2,1,2,2,1,1,3,1,1,2,2,2,2
13,47,1_32,57,Female,White or Caucasian,2.0,1.0,3.375,6.235294118,3.7058823529411766,"1. The video is a public service announcement by UNICEF featuring hand-drawn animations of various people holding signs that describe common mistakes made online, such as clicking spam links or letting social media metrics affect self-worth. It ends with a call to action for internet safety.
2. As a 57-year-old woman with a moderate sensation-seeking score, I would find the message relatable and socially important. The hand-drawn art style is a creative and refreshing change from typical digital advertisements, which makes it stand out, though it isn't ""thrilling"" or ""intense"" in a traditional sense.
3. I map my reaction by giving higher scores to items like ""creative,"" ""unique,"" and ""novel"" due to the artistic style. ""Involving"" and ""stimulating"" get moderate scores because the message prompts self-reflection. Items like ""graphic,"" ""goosebump,"" and ""intense"" receive lower scores as the video is educational and gentle rather than visceral or high-energy.",7.0,5.0,7.0,6.0,7.0,6.0,7.0,6.0,5.0,7.0,7.0,5.0,6.0,6.0,6.0,7.0,6.0,4,3,5,3,4,4,4,3,3,2,5,2,3,4,5,5,4
23,47,1_32,54,Male,White or Caucasian,3.0,3.0,2.75,1.823529412,2.764705882352941,"1. The video is a public service announcement from UNICEF regarding internet safety, using a series of hand-drawn animations of people holding signs that list common online mistakes. The style is clean, illustrative, and educational rather than high-energy or shocking.
2. As a 54-year-old male with a moderate-low sensation-seeking score (2.75), I would likely appreciate the clear, straightforward message and the creative art style. I would find it informative and socially responsible, but it wouldn't provoke a strong physical or emotional reaction. It's a ""nice"" video with a good message, not a thrilling or intense experience.
3. The ratings reflect this moderate response. Creative and visual elements get slightly higher scores because the animation style is distinctive. However, items related to intensity, arousal, and drama are rated low because the video is a calm, educational PSA.",2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,3,2,3,2,3,3,4,2,2,1,5,1,2,3,4,4,3
70,47,1_32,53,Male,White or Caucasian,3.0,3.0,2.875,5.823529412,2.8823529411764706,"1. The video is a public service announcement from UNICEF regarding internet safety. It uses a distinct hand-drawn animation style where various characters hold up signs describing common online mistakes (accepting all cookies, clicking spam links, etc.). The background colors change frequently, and there is a rhythmic, upbeat soundtrack.
2. As a 53-year-old male with a moderate sensation-seeking score (2.88), I would likely appreciate the clear, straightforward message and the creative presentation. However, I wouldn't find it particularly thrilling or emotionally charged. It's an informative piece rather than an entertainment-focused one, so my reaction would be one of mild interest in the art style but low physiological or emotional arousal.
3. I will rate the novelty and creativity items moderately high (4-5) because the hand-drawn aesthetic is a nice departure from standard corporate PSAs. Emotional and dramatic impact items will be rated low (1-3) because the video is educational and lacks high-stakes tension or visceral imagery. Sound and visual strength will be rated in the middle (3-4) as they are effective for the format but not overwhelming.",6.0,2.0,7.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,7.0,5.0,6.0,6.0,2,2,3,2,3,3,4,3,2,1,5,1,2,4,4,4,4
76,47,1_32,40,Male,Other,5.0,3.0,2.625,4.470588235,2.8823529411764706,"1. The video is a public service announcement from UNICEF regarding internet safety, using a series of hand-drawn animated characters holding signs that list common online mistakes. The style is simple, clean, and educational, aimed at raising awareness about digital literacy and self-worth.
2. As a 40-year-old male with a moderate-low sensation-seeking score (2.62), I would likely find this video informative and well-intentioned. I would appreciate the creative hand-drawn aesthetic and the relatability of the message, but I wouldn't find it particularly thrilling, intense, or emotionally overwhelming. It’s a ""soft"" message rather than a high-impact or shocking one.
3. The ratings reflect a balance between acknowledging the creative execution and the relatively low level of physical or emotional arousal the video provides. Items like ""graphic,"" ""intense,"" and ""goosebump"" receive the lowest scores, while ""creative,"" ""novel,"" and ""unique"" receive moderate scores due to the distinct animation style.",6.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,6.0,5.0,1.0,1.0,6.0,6.0,6.0,6.0,3,2,4,2,3,3,4,2,2,1,5,1,2,3,4,4,4
79,47,1_32,32,Male,Other,5.0,2.0,3.125,3.764705882,3.1176470588235294,"1. The video is a public service announcement from UNICEF regarding internet safety. It uses a distinct hand-drawn animation style where different characters hold up signs that reveal a message about making mistakes online and the importance of digital safety. The soundtrack is rhythmic and steady, matching the pace of the text reveals.
2. As a 32-year-old with a moderate sensation-seeking score, I appreciate the creative approach to a serious topic. The artistic style is engaging and the message is clear and socially relevant. However, because it is an educational PSA, it lacks the high-intensity or adrenaline-pumping qualities of more sensational content. I find it informative and visually interesting rather than exciting or emotionally overwhelming.
3. I will rate the creative and visual aspects moderately high because the animation style is unique. Emotional and dramatic impact scales will be rated lower, as the video is designed to be reflective and instructional rather than shocking or intense. Sound-related scales will be moderate, reflecting the consistent but not overpowering background track.",3.0,4.0,5.0,4.0,6.0,3.0,3.0,5.0,1.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,4.0,3,2,4,2,4,3,5,2,3,2,5,1,2,3,4,4,4
96,47,1_32,62,Female,White or Caucasian,5.0,6.0,2.75,6.764705882,2.5294117647058822,"1. The video is a public service announcement from UNICEF regarding internet safety, using a series of hand-drawn animations of diverse individuals holding signs that describe common online mistakes (e.g., accepting all cookies, clicking spam links, letting likes define self-worth). The style is minimalist with bright, solid-colored backgrounds and a rhythmic, upbeat soundtrack.
2. As a 62-year-old woman with a moderate sensation-seeking score, I would likely appreciate the clear, educational message and the wholesome, artistic approach to a serious topic like child safety. However, I would not find the content particularly thrilling, intense, or emotionally overwhelming. It feels like a well-executed, informative piece of content rather than a high-energy or ""sensational"" video.
3. The ratings reflect this balance: the ""Creative"" and ""Unique"" scores are moderate because of the specific animation style, while ""Intense,"" ""Graphic,"" and ""Goosebump"" scores are very low because the video is gentle and educational. Emotional and arousal scores are kept low to mid-range as the video is more thought-provoking than visceral.",7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,3,2,3,2,3,2,3,2,2,1,4,1,2,3,3,4,3
3,75,1_58,45,Female,White or Caucasian,4.0,3.0,2.75,5.411764706,2.9411764705882355,"1. The video is an educational explainer about the COP27 climate conference, highlighting various controversies such as human rights in Egypt, corporate sponsorship, and the lack of binding agreements. It uses a ""talking head"" format combined with news headlines, stock footage of environmental disasters, and text overlays.
2. As a 45-year-old with a moderate-low sensation-seeking score (2.75), the respondent would likely find the video informative and serious but not particularly thrilling or sensory-heavy. She would appreciate the clear delivery of facts but would not be physically or emotionally overwhelmed by the presentation style, which is standard for social media advocacy.
3. The ratings reflect a middle-of-the-road response to the video's impact. While the subject matter (climate change) is powerful and somewhat emotional, the production lacks the high-intensity elements like a strong soundtrack, dramatic sound effects, or visceral ""goosebump"" moments that would drive higher scores in the arousal and dramatic impact categories. The novelty is rated lower because this style of informational reel is very common.",4.0,5.0,6.0,6.0,7.0,5.0,7.0,5.0,6.0,5.0,7.0,1.0,7.0,5.0,6.0,7.0,3.0,4,2,4,2,4,3,4,2,3,3,4,1,3,2,3,3,3
4,75,1_58,32,Male,White or Caucasian,5.0,5.0,2.625,5.588235294,2.411764705882353,"1. The video is an educational explainer about the COP27 climate conference, featuring a host speaking to the camera with various visual aids like news headlines, stock footage of environmental disasters, and text overlays. It covers the goals of the conference, its controversies (location, corporate sponsorship, fossil fuel presence), and the main agenda items.
2. As a 32-year-old male with a bachelor's degree and a lower-than-average sensation-seeking score (2.62), I would likely find this video informative and professionally produced but not particularly exciting or novel. The format is very common for social media news content. While the subject matter is serious and intellectually involving, the presentation style is measured and educational rather than high-energy or sensational.
3. I map this reaction to the scales by giving moderate scores to items like ""involving"" and ""stimulating"" because the topic is relevant to an educated viewer. However, I give low scores to ""novelty,"" ""arousal,"" and ""dramatic impact"" because the editing, soundtrack, and visual style are standard for the platform and do not aim for a visceral or high-adrenaline response.",6.0,6.0,7.0,6.0,7.0,7.0,6.0,4.0,6.0,1.0,5.0,6.0,6.0,4.0,5.0,7.0,6.0,3,2,4,2,3,3,3,2,3,2,3,1,2,2,2,2,2
