participant_id,video_id,survey_batch_id,age,gender,race,education,income,sen_seek,human_perceived_msv,predicted_msv,human_emotional,human_arousing,human_involving,human_exciting,human_powerful_impact,human_stimulating,human_strong_visual,human_strong_soundeffect,human_dramatic,human_graphic,human_creative,human_goosebump,human_intense,human_strong_soundtrack,human_novel,human_unique,human_unusual,ai_emotional,ai_arousing,ai_involving,ai_exciting,ai_powerful_impact,ai_stimulating,ai_strong_visual,ai_strong_soundeffect,ai_dramatic,ai_graphic,ai_creative,ai_goosebump,ai_intense,ai_strong_soundtrack,ai_novel,ai_unique,ai_unusual
9,111,1_90,23,Male,White or Caucasian,1.0,1.0,3.625,1.352941176,2.823529411764706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,4,2,3,3,2,3,5,2,2,1,4,1,2,6,3,3,2
11,40,1_26,33,Male,White or Caucasian,5.0,3.0,2.625,1.294117647,2.5294117647058822,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,3,2,2,3,5,2,1,2,3,1,1,2,4,4,4
11,84,1_66,33,Male,White or Caucasian,5.0,3.0,2.625,1.0,1.588235294117647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,2,1,2,2,3,1,1,1,2,1,1,1,2,2,2
12,89,1_70,74,Female,White or Caucasian,6.0,4.0,1.625,4.941176471,1.7647058823529411,7.0,6.0,6.0,4.0,6.0,6.0,4.0,1.0,6.0,5.0,3.0,4.0,7.0,1.0,5.0,6.0,7.0,3,1,1,1,2,1,1,1,3,3,1,1,2,1,2,2,4
13,47,1_32,57,Female,White or Caucasian,2.0,1.0,3.375,6.235294118,3.5294117647058822,7.0,5.0,7.0,6.0,7.0,6.0,7.0,6.0,5.0,7.0,7.0,5.0,6.0,6.0,6.0,7.0,6.0,4,3,4,3,4,3,5,3,3,2,5,2,3,4,4,4,4
13,72,1_55,57,Female,White or Caucasian,2.0,1.0,3.375,4.0,1.1764705882352942,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1
18,75,1_58,41,Male,White or Caucasian,4.0,4.0,4.0,4.0,3.5294117647058822,3.0,5.0,5.0,5.0,5.0,6.0,5.0,2.0,5.0,2.0,5.0,3.0,5.0,1.0,4.0,5.0,2.0,4,3,5,3,5,4,5,2,4,3,4,2,4,2,4,3,3
19,89,1_70,25,Non-binary / third gender,Black or African American,3.0,2.0,1.875,3.470588235,2.1176470588235294,4.0,5.0,1.0,4.0,5.0,1.0,3.0,1.0,3.0,3.0,2.0,6.0,5.0,1.0,4.0,4.0,7.0,4,2,2,1,2,2,2,1,3,3,1,2,3,1,2,2,3
20,97,1_78,35,Male,White or Caucasian,5.0,4.0,2.875,3.411764706,2.411764705882353,5.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3,2,3,2,2,2,4,2,2,1,4,1,1,3,3,3,3
21,80,1_62,57,Female,White or Caucasian,5.0,2.0,1.75,4.0,3.5294117647058822,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,2,3,2,3,2,5,2,4,3,6,1,2,3,6,6,6
22,40,1_26,42,Female,White or Caucasian,4.0,1.0,2.125,3.764705882,2.0588235294117645,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,7.0,3.0,4.0,2.0,3.0,3.0,2,2,2,2,1,2,4,2,1,2,2,1,1,2,3,3,3
23,47,1_32,54,Male,White or Caucasian,3.0,3.0,2.75,1.823529412,2.764705882352941,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,3,2,3,2,3,2,4,2,2,2,4,1,2,3,4,4,4
23,8,1_105,54,Male,White or Caucasian,3.0,3.0,2.75,2.058823529,3.235294117647059,4.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,5,2,4,3,2,3,4,5,4,1,4,1,2,6,3,3,3
25,84,1_66,51,Female,White or Caucasian,4.0,3.0,2.25,4.588235294,2.176470588235294,7.0,7.0,5.0,6.0,7.0,2.0,6.0,1.0,1.0,5.0,6.0,5.0,7.0,1.0,5.0,4.0,3.0,4,2,3,2,3,2,3,1,2,2,3,1,2,1,2,2,2
26,40,1_26,34,Female,White or Caucasian,5.0,5.0,3.125,1.882352941,2.764705882352941,1.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2,3,3,3,2,3,4,2,2,2,3,1,2,3,4,4,4
26,89,1_70,34,Female,White or Caucasian,5.0,5.0,3.125,3.647058824,2.176470588235294,7.0,5.0,1.0,7.0,3.0,1.0,1.0,1.0,7.0,7.0,2.0,1.0,7.0,1.0,5.0,1.0,5.0,4,2,3,2,3,2,2,1,3,2,1,2,3,1,2,2,2
26,120,1_99,34,Female,White or Caucasian,5.0,5.0,3.125,3.588235294,2.9411764705882355,3.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,5.0,2.0,6.0,1.0,1.0,6.0,5.0,5.0,3.0,2,2,3,3,2,3,4,2,3,1,5,1,2,5,4,4,4
28,89,1_70,45,Male,White or Caucasian,5.0,2.0,3.0,2.058823529,2.411764705882353,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4,2,3,2,3,2,2,1,4,3,1,2,4,1,2,2,3
29,72,1_55,47,Male,White or Caucasian,4.0,2.0,1.875,2.352941176,1.1176470588235294,1.0,1.0,2.0,1.0,7.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,2.0,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
29,120,1_99,47,Male,White or Caucasian,4.0,2.0,1.875,4.352941176,2.0588235294117645,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,7.0,5.0,5.0,5.0,2,1,2,2,1,2,3,2,2,1,3,1,1,3,3,3,3
30,111,1_90,25,Female,White or Caucasian,5.0,3.0,2.0,1.764705882,2.1176470588235294,3.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4,2,3,2,2,2,3,1,1,1,3,1,1,4,2,2,2
30,8,1_105,25,Female,White or Caucasian,5.0,3.0,2.0,2.117647059,3.2941176470588234,5.0,1.0,5.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,5,2,4,3,2,3,3,5,5,1,4,1,2,6,3,3,4
32,40,1_26,44,Female,White or Caucasian,6.0,4.0,2.625,1.823529412,1.8823529411764706,4.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2,2,2,2,1,2,3,1,1,2,2,1,1,1,3,3,3
33,8,1_105,26,Non-binary / third gender,Other,5.0,2.0,3.75,1.235294118,3.823529411764706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4,3,4,4,3,3,3,5,5,1,4,2,3,6,5,5,5
33,84,1_66,26,Non-binary / third gender,Other,5.0,2.0,3.75,1.176470588,1.588235294117647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2,1,2,1,1,1,3,1,1,2,3,1,1,1,2,2,2
34,97,1_78,28,Female,American Indian/Native American or Alaska Native,3.0,2.0,1.75,1.0,2.823529411764706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,4,2,4,2,5,2,2,1,4,2,1,3,3,3,3
36,120,1_99,24,Non-binary / third gender,White or Caucasian,4.0,3.0,2.875,4.0,2.588235294117647,3.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,2,2,3,3,2,3,3,2,2,1,4,1,2,5,3,3,3
37,111,1_90,39,Female,White or Caucasian,5.0,2.0,3.125,3.0,2.764705882352941,2.0,3.0,3.0,2.0,3.0,3.0,5.0,1.0,5.0,2.0,4.0,1.0,3.0,6.0,3.0,3.0,2.0,4,3,3,3,2,3,4,2,2,1,4,1,2,5,3,3,2
39,72,1_55,28,Female,White or Caucasian,6.0,4.0,2.375,1.823529412,1.411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,3.0,1.0,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,2,2
40,97,1_78,57,Female,White or Caucasian,5.0,3.0,3.625,4.470588235,3.5294117647058822,5.0,4.0,5.0,4.0,6.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5,3,4,3,4,4,5,2,3,2,5,2,2,4,4,4,4
46,80,1_62,23,Non-binary / third gender,White or Caucasian,3.0,2.0,1.5,1.294117647,4.411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,6,3,5,3,6,2,5,2,7,3,2,3,7,7,7
48,72,1_55,23,Female,White or Caucasian,5.0,6.0,3.125,1.0,1.1764705882352942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1
48,97,1_78,23,Female,White or Caucasian,5.0,6.0,3.125,1.647058824,2.3529411764705883,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4,2,3,2,3,2,4,2,2,1,3,1,2,3,2,2,2
48,111,1_90,23,Female,White or Caucasian,5.0,6.0,3.125,1.470588235,2.823529411764706,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,4,3,4,3,2,3,4,2,2,1,4,1,2,5,3,3,2
49,84,1_66,28,Female,White or Caucasian,3.0,2.0,1.625,3.0,1.588235294117647,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,6.0,6.0,6.0,3,1,2,1,2,1,3,1,1,1,2,1,1,1,2,2,2
50,97,1_78,22,Male,Asian,3.0,4.0,2.5,5.764705882,2.6470588235294117,7.0,1.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,4.0,7.0,7.0,7.0,1.0,7.0,7.0,4.0,3,2,3,2,3,2,4,2,2,1,4,2,2,3,3,3,4
51,72,1_55,29,Female,White or Caucasian,6.0,3.0,1.875,2.411764706,1.411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,2,2
52,75,1_58,33,Female,White or Caucasian,6.0,4.0,2.75,3.941176471,2.764705882352941,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3,2,4,2,3,3,4,2,3,3,4,1,2,2,3,3,3
53,72,1_55,43,Female,White or Caucasian,3.0,6.0,1.875,2.705882353,1.2352941176470589,1.0,1.0,4.0,1.0,2.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1
54,40,1_26,28,Female,White or Caucasian,5.0,5.0,2.875,2.411764706,2.6470588235294117,1.0,3.0,5.0,2.0,1.0,3.0,5.0,3.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,2,2,2,3,2,3,4,2,2,2,3,1,2,3,4,4,4
54,80,1_62,28,Female,White or Caucasian,5.0,5.0,2.875,5.764705882,5.0588235294117645,7.0,5.0,7.0,5.0,7.0,3.0,7.0,5.0,5.0,7.0,7.0,4.0,6.0,4.0,7.0,7.0,5.0,5,4,5,4,5,5,6,4,5,4,7,3,4,4,7,7,7
54,111,1_90,28,Female,White or Caucasian,5.0,5.0,2.875,3.764705882,2.764705882352941,4.0,4.0,2.0,5.0,1.0,4.0,4.0,3.0,5.0,4.0,6.0,5.0,4.0,5.0,2.0,2.0,4.0,4,2,3,3,2,3,4,3,2,1,4,1,2,5,3,3,2
55,120,1_99,26,Non-binary / third gender,"White or Caucasian,American Indian/Native American or Alaska Native",4.0,1.0,3.0,4.823529412,2.9411764705882355,5.0,5.0,5.0,5.0,5.0,6.0,7.0,4.0,6.0,1.0,5.0,1.0,6.0,6.0,5.0,5.0,5.0,2,2,3,3,2,3,4,2,3,1,5,1,2,5,4,4,4
56,89,1_70,42,Male,Black or African American,5.0,3.0,3.25,4.058823529,3.411764705882353,6.0,3.0,6.0,2.0,2.0,6.0,3.0,5.0,4.0,3.0,4.0,2.0,6.0,6.0,3.0,4.0,4.0,5,4,4,2,5,3,2,1,6,4,2,4,5,1,3,3,4
57,120,1_99,43,Male,White or Caucasian,2.0,1.0,2.125,1.0,2.0588235294117645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,2,2,1,2,3,2,2,1,3,1,1,3,3,3,3
58,72,1_55,55,Male,White or Caucasian,3.0,6.0,3.875,1.0,1.1176470588235294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
58,97,1_78,55,Male,White or Caucasian,3.0,6.0,3.875,2.176470588,2.6470588235294117,3.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3,2,3,2,3,2,4,2,2,2,4,2,2,3,3,3,3
59,80,1_62,32,Male,White or Caucasian,4.0,1.0,2.125,5.176470588,4.0,7.0,1.0,7.0,5.0,7.0,3.0,7.0,5.0,5.0,1.0,7.0,2.0,5.0,5.0,7.0,7.0,7.0,4,3,4,3,4,3,5,3,4,3,6,2,3,3,6,6,6
61,75,1_58,58,Male,White or Caucasian,5.0,1.0,1.5,4.0,1.9411764705882353,7.0,2.0,6.0,5.0,6.0,4.0,5.0,1.0,7.0,2.0,4.0,1.0,6.0,1.0,4.0,5.0,2.0,2,2,3,2,2,2,3,1,2,2,2,1,2,1,2,2,2
63,40,1_26,47,Male,White or Caucasian,3.0,2.0,2.75,3.117647059,2.5294117647058822,3.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,3,3,2,3,4,2,2,2,3,1,2,2,4,3,3
65,40,1_26,32,Male,Other,5.0,4.0,2.875,1.294117647,2.9411764705882355,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3,3,3,3,2,3,5,2,2,3,3,1,2,3,4,4,4
67,75,1_58,22,Male,Black or African American,2.0,3.0,4.5,4.117647059,3.823529411764706,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,2.0,4.0,1.0,4.0,5.0,3.0,4,4,5,4,5,5,5,2,5,4,4,2,4,3,3,3,3
68,80,1_62,67,Female,White or Caucasian,3.0,2.0,1.625,4.705882353,3.176470588235294,3.0,4.0,2.0,4.0,4.0,4.0,6.0,5.0,7.0,6.0,7.0,4.0,5.0,5.0,5.0,3.0,6.0,3,2,3,2,2,2,4,3,3,2,4,1,2,3,6,6,6
68,8,1_105,67,Female,White or Caucasian,3.0,2.0,1.625,5.647058824,3.235294117647059,5.0,7.0,5.0,5.0,5.0,7.0,5.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,5,2,4,3,2,2,3,3,4,1,5,1,2,6,4,4,4
70,47,1_32,53,Male,White or Caucasian,3.0,3.0,2.875,5.823529412,2.7058823529411766,6.0,2.0,7.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,7.0,5.0,6.0,6.0,3,2,3,2,3,2,4,2,2,1,4,1,2,3,4,4,4
70,84,1_66,53,Male,White or Caucasian,3.0,3.0,2.875,3.588235294,2.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,1.0,6.0,6.0,5.0,1.0,4.0,1.0,5.0,3.0,3.0,3,2,2,2,3,2,3,1,2,1,3,1,2,1,2,2,2
71,120,1_99,51,Female,White or Caucasian,5.0,2.0,2.125,4.0,2.1176470588235294,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,1,2,2,1,2,3,2,2,1,3,1,1,4,3,3,3
74,120,1_99,61,Male,White or Caucasian,3.0,3.0,2.75,2.176470588,2.235294117647059,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,2.0,2.0,1.0,2,1,2,2,2,2,3,2,2,1,4,1,1,4,3,3,3
76,47,1_32,40,Male,Other,5.0,3.0,2.625,4.470588235,2.823529411764706,6.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,6.0,5.0,1.0,1.0,6.0,6.0,6.0,6.0,3,2,3,2,3,2,4,2,2,2,5,1,2,3,4,4,4
76,8,1_105,40,Male,Other,5.0,3.0,2.625,1.0,3.2941176470588234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,4,3,2,3,3,5,4,1,4,1,2,6,4,4,4
76,84,1_66,40,Male,Other,5.0,3.0,2.625,1.470588235,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,2,2,2,3,1,2,2,3,1,2,2,2,2,2
77,75,1_58,39,Male,White or Caucasian,5.0,2.0,2.0,3.882352941,2.764705882352941,5.0,5.0,5.0,1.0,7.0,5.0,7.0,1.0,6.0,7.0,6.0,1.0,4.0,1.0,1.0,1.0,3.0,3,2,4,2,3,3,4,2,3,3,4,1,2,2,3,3,3
77,89,1_70,39,Male,White or Caucasian,5.0,2.0,2.0,4.294117647,2.176470588235294,7.0,7.0,5.0,4.0,7.0,6.0,1.0,1.0,7.0,7.0,1.0,3.0,6.0,1.0,1.0,7.0,2.0,4,2,3,1,3,2,2,1,3,3,1,2,3,1,2,2,2
78,80,1_62,52,Male,White or Caucasian,3.0,2.0,2.875,5.411764706,4.0588235294117645,6.0,1.0,6.0,5.0,6.0,6.0,7.0,5.0,7.0,2.0,6.0,2.0,5.0,7.0,7.0,7.0,7.0,4,3,4,3,4,3,5,3,4,3,6,2,3,4,6,6,6
79,47,1_32,32,Male,Other,5.0,2.0,3.125,3.764705882,2.764705882352941,3.0,4.0,5.0,4.0,6.0,3.0,3.0,5.0,1.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,4.0,3,2,3,2,3,2,4,2,2,2,4,1,2,3,4,4,4
80,72,1_55,30,Male,White or Caucasian,4.0,3.0,2.0,1.941176471,1.2352941176470589,3.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1
81,72,1_55,25,Male,Black or African American,4.0,,1.375,1.0,1.1176470588235294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
82,40,1_26,73,Female,White or Caucasian,5.0,2.0,2.625,4.0,2.176470588235294,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,6.0,4.0,2,2,2,2,1,2,4,2,1,1,2,1,1,2,4,4,4
83,8,1_105,61,Female,Black or African American,3.0,1.0,2.375,4.823529412,3.764705882352941,6.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,5.0,3.0,5.0,5.0,6.0,3.0,5.0,5.0,5.0,5,3,4,3,3,3,5,6,3,1,5,2,2,5,4,5,5
84,120,1_99,24,Male,White or Caucasian,5.0,3.0,3.625,4.235294118,3.1176470588235294,2.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,4.0,6.0,5.0,2.0,2.0,2,2,4,4,2,4,4,2,2,1,5,1,2,5,4,5,4
86,40,1_26,23,Male,Black or African American,5.0,3.0,2.5,2.882352941,2.823529411764706,7.0,7.0,1.0,1.0,1.0,7.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,3,2,3,3,2,3,5,2,2,3,3,1,2,2,4,4,4
87,89,1_70,28,Male,White or Caucasian,6.0,5.0,3.75,1.764705882,3.9411764705882355,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,5,5,4,3,5,4,2,2,6,5,2,4,5,3,4,3,5
88,80,1_62,23,Male,Asian,3.0,1.0,2.75,5.058823529,4.764705882352941,6.0,1.0,7.0,5.0,6.0,6.0,7.0,6.0,6.0,1.0,6.0,1.0,5.0,6.0,6.0,5.0,6.0,5,3,5,3,5,4,6,3,5,3,7,3,4,4,7,7,7
88,8,1_105,23,Male,Asian,3.0,1.0,2.75,2.823529412,2.764705882352941,6.0,1.0,1.0,5.0,1.0,5.0,4.0,5.0,1.0,1.0,4.0,1.0,1.0,5.0,2.0,2.0,3.0,3,2,3,2,2,2,3,4,3,1,4,1,2,5,4,3,3
89,75,1_58,55,Female,Black or African American,5.0,5.0,3.75,5.411764706,3.9411764705882355,5.0,6.0,7.0,5.0,5.0,7.0,5.0,7.0,5.0,4.0,4.0,3.0,6.0,5.0,7.0,5.0,6.0,4,3,5,4,5,5,5,3,4,4,5,2,4,3,4,4,3
90,89,1_70,28,Male,White or Caucasian,3.0,5.0,3.125,1.352941176,3.588235294117647,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,5,4,4,2,5,3,2,2,5,4,2,4,5,2,4,3,5
91,97,1_78,21,Female,White or Caucasian,4.0,1.0,3.125,5.058823529,3.1176470588235294,6.0,1.0,5.0,5.0,6.0,6.0,6.0,7.0,5.0,3.0,6.0,6.0,5.0,6.0,5.0,5.0,3.0,4,3,4,2,4,3,5,2,3,2,4,2,2,4,3,3,3
94,97,1_78,35,Female,Asian,3.0,,2.5,6.588235294,2.3529411764705883,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,5.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,4,2,3,2,3,2,4,2,2,1,3,1,1,3,2,3,2
94,111,1_90,35,Female,Asian,3.0,,2.5,4.294117647,2.5294117647058822,4.0,7.0,6.0,2.0,6.0,6.0,7.0,4.0,2.0,4.0,5.0,2.0,2.0,7.0,1.0,6.0,2.0,4,3,3,3,2,3,4,1,2,1,3,1,2,5,2,2,2
94,84,1_66,35,Female,Asian,3.0,,2.5,1.411764706,2.176470588235294,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,3,2,3,2,3,2,4,1,2,2,3,1,2,1,2,2,2
