participant_id,video_id,survey_batch_id,age,gender,race,education,income,sen_seek,human_perceived_msv,predicted_msv,cot_reasoning,thought_summary,example_pairs,raw_response,human_emotional,human_arousing,human_involving,human_exciting,human_powerful_impact,human_stimulating,human_strong_visual,human_strong_soundeffect,human_dramatic,human_graphic,human_creative,human_goosebump,human_intense,human_strong_soundtrack,human_novel,human_unique,human_unusual,ai_emotional,ai_arousing,ai_involving,ai_exciting,ai_powerful_impact,ai_stimulating,ai_strong_visual,ai_strong_soundeffect,ai_dramatic,ai_graphic,ai_creative,ai_goosebump,ai_intense,ai_strong_soundtrack,ai_novel,ai_unique,ai_unusual
9,111,1_90,41,Male,"White or Caucasian,Asian",3.0,6.0,2.875,1.352941176,4.0,,,,"```json
{
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4,
  ""emotional"": 4,
  ""exciting"": 4,
  ""strong_visual"": 4,
  ""arousing"": 4,
  ""involving"": 4,
  ""stimulating"": 4,
  ""powerful_impact"": 4,
  ""strong_soundeffect"": 4,
  ""strong_soundtrack"": 4,
  ""dramatic"": 4,
  ""intense"": 4,
  ""goosebump"": 4,
  ""creative"": 4,
  ""graphic"": 4
}
```",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11,40,1_26,47,Female,White or Caucasian,6.0,nan,1.5,1.294117647,2.823529411764706,,,,"```json
{
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4,
  ""emotional"": 3,
  ""exciting"": 3,
  ""strong_visual"": 4,
  ""arousing"": 2,
  ""involving"": 3,
  ""stimulating"": 3,
  ""powerful_impact"": 3,
  ""creative"": 3,
  ""graphic"": 2,
  ""goosebump"": 2,
  ""intense"": 2,
  ""strong_soundtrack"": 2,
  ""strong_soundeffect"": 2,
  ""dramatic"": 2
}
```",1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,3,3,3,3,4,2,2,2,3,2,2,2,4,4,4
11,84,1_66,47,Female,White or Caucasian,6.0,nan,1.5,1.0,4.764705882352941,,,,"{""novel"": 6, ""unique"": 6, ""unusual"": 6, ""emotional"": 5, ""exciting"": 5, ""strong_visual"": 5, ""arousing"": 4, ""involving"": 5, ""stimulating"": 5, ""strong_soundeffect"": 4, ""dramatic"": 5, ""intense"": 4, ""strong_soundtrack"": 4, ""creative"": 5, ""graphic"": 3, ""goosebump"": 4, ""powerful_impact"": 5}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,4,5,5,5,5,5,4,5,3,5,4,4,4,6,6,6
12,89,1_70,81,Female,White or Caucasian,6.0,nan,4.125,4.941176471,4.647058823529412,,,,"```json
{
  ""novel"": 6,
  ""unique"": 6,
  ""unusual"": 6,
  ""emotional"": 5,
  ""exciting"": 5,
  ""strong_visual"": 5,
  ""arousing"": 4,
  ""stimulating"": 4,
  ""involving"": 4,
  ""powerful_impact"": 5,
  ""creative"": 4,
  ""graphic"": 5,
  ""goosebump"": 4,
  ""intense"": 4,
  ""dramatic"": 4,
  ""strong_soundtrack"": 4,
  ""strong_soundeffect"": 4
}
```",7.0,6.0,6.0,4.0,6.0,6.0,4.0,1.0,6.0,5.0,3.0,4.0,7.0,1.0,5.0,6.0,7.0,5,4,4,5,5,4,5,4,4,5,4,4,4,4,6,6,6
13,47,1_32,34,Female,Black or African American,5.0,1.0,2.25,6.235294118,4.705882352941177,,,,"{""novel"": 6, ""unique"": 6, ""novel"": 6, ""unique"": 6, ""emotional"": 5, ""exciting"": 5, ""strong_visual"": 5, ""arousing"": 4, ""involving"": 5, ""stimulating"": 4, ""strong_soundeffect"": 5, ""dramatic"": 5, ""intense"": 4, ""strong_soundtrack"": 5, ""creative"": 5, ""graphic"": 3, ""goosebump"": 4, ""unusual"": 5}",7.0,5.0,7.0,6.0,7.0,6.0,7.0,6.0,5.0,7.0,7.0,5.0,6.0,6.0,6.0,7.0,6.0,5,4,5,5,4,4,5,5,5,3,5,4,4,5,6,6,5
13,72,1_55,34,Female,Black or African American,5.0,1.0,2.25,4.0,2.6470588235294117,,,,"```json
{
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4,
  ""novelty"": 4,
  ""emotional"": 3,
  ""arousing"": 2,
  ""involving"": 2,
  ""exciting"": 2,
  ""powerful_impact"": 2,
  ""stimulating"": 2,
  ""strong_visual"": 3,
  ""strong_soundeffect"": 3,
  ""strong_soundtrack"": 3,
  ""dramatic"": 2,
  ""intense"": 2,
  ""goosebump"": 2,
  ""creative"": 3,
  ""graphic"": 2
}
```",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3,2,2,2,2,2,3,3,2,2,3,2,2,3,4,4,4
18,75,1_58,51,Female,Black or African American,4.0,5.0,2.5,4.0,4.0,,,,"```json
{
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4,
  ""emotional"": 4,
  ""exciting"": 4,
  ""strong_visual"": 4,
  ""arousing"": 4,
  ""involving"": 4,
  ""stimulating"": 4,
  ""powerful_impact"": 4,
  ""goosebump"": 4,
  ""intense"": 4,
  ""dramatic"": 4,
  ""creative"": 4,
  ""graphic"": 4,
  ""strong_soundtrack"": 4,
  ""strong_soundeffect"": 4
}
```",3.0,5.0,5.0,5.0,5.0,6.0,5.0,2.0,5.0,2.0,5.0,3.0,5.0,1.0,4.0,5.0,2.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
19,89,1_70,32,Female,White or Caucasian,4.0,2.0,2.25,3.470588235,5.0,,,,"```json
{
  ""novel"": 5,
  ""unique"": 6,
  ""unusual"": 6,
  ""novel"": 5,
  ""emotional"": 6,
  ""exciting"": 5,
  ""strong_visual"": 5,
  ""creative"": 4,
  ""graphic"": 6,
  ""arousing"": 4,
  ""involving"": 5,
  ""intense"": 5,
  ""strong_soundtrack"": 4,
  ""dramatic"": 5,
  ""stimulating"": 4,
  ""strong_soundeffect"": 4,
  ""goosebump"": 5,
  ""powerful_impact"": 6
}
```",4.0,5.0,1.0,4.0,5.0,1.0,3.0,1.0,3.0,3.0,2.0,6.0,5.0,1.0,4.0,4.0,7.0,6,4,5,5,6,4,5,4,5,6,4,5,5,4,5,6,6
20,97,1_78,20,Non-binary / third gender,White or Caucasian,3.0,4.0,3.875,3.411764706,3.588235294117647,,,,"```json
{
  ""novel"": 5,
  ""unique"": 5,
  ""emotional"": 4,
  ""exciting"": 4,
  ""strong_visual"": 4,
  ""powerful_impact"": 4,
  ""arousing"": 3,
  ""involving"": 4,
  ""stimulating"": 4,
  ""strong_soundeffect"": 3,
  ""dramatic"": 3,
  ""intense"": 3,
  ""strong_soundtrack"": 3,
  ""goosebump"": 3,
  ""creative"": 4,
  ""graphic"": 1,
  ""unusual"": 4
}
```",5.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4,3,4,4,4,4,4,3,3,1,4,3,3,3,5,5,4
21,80,1_62,35,Female,White or Caucasian,3.0,3.0,2.0,4.0,4.882352941176471,,,,"```json
{
  ""novel"": 6,
  ""unique"": 6,
  ""emotional"": 5,
  ""exciting"": 5,
  ""strong_visual"": 5,
  ""powerful_impact"": 5,
  ""arousing"": 4,
  ""involving"": 5,
  ""stimulating"": 5,
  ""strong_soundeffect"": 4,
  ""dramatic"": 5,
  ""intense"": 4,
  ""strong_soundtrack"": 5,
  ""creative"": 6,
  ""goosebump"": 4,
  ""graphic"": 3,
  ""unusual"": 6
}
```",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5,4,5,5,5,5,5,4,5,3,6,4,4,5,6,6,6
22,40,1_26,61,Female,White or Caucasian,2.0,4.0,1.875,3.764705882,2.823529411764706,,,,"```json
{
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4,
  ""emotional"": 3,
  ""exciting"": 3,
  ""strong_visual"": 4,
  ""arousing"": 2,
  ""involving"": 3,
  ""stimulating"": 3,
  ""powerful_impact"": 3,
  ""creative"": 3,
  ""graphic"": 2,
  ""goosebump"": 2,
  ""intense"": 2,
  ""strong_soundtrack"": 2,
  ""strong_soundeffect"": 2,
  ""dramatic"": 2
}
```",4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,7.0,3.0,4.0,2.0,3.0,3.0,3,2,3,3,3,3,4,2,2,2,3,2,2,2,4,4,4
23,47,1_32,27,Male,White or Caucasian,3.0,1.0,3.625,1.823529412,4.588235294117647,,,,"```json
{
  ""novel"": 6,
  ""unique"": 6,
  ""unusual"": 5,
  ""emotional"": 4,
  ""exciting"": 5,
  ""strong_visual"": 5,
  ""arousing"": 4,
  ""involving"": 4,
  ""stimulating"": 5,
  ""powerful_impact"": 5,
  ""goosebump"": 3,
  ""intense"": 4,
  ""dramatic"": 4,
  ""strong_soundtrack"": 5,
  ""strong_soundeffect"": 5,
  ""creative"": 5,
  ""graphic"": 3
}
```",2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,4,4,4,5,5,5,5,5,4,3,5,3,4,5,6,6,5
23,8,1_105,27,Male,White or Caucasian,3.0,1.0,3.625,2.058823529,2.764705882352941,,,,"```json
{
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4,
  ""emotional"": 3,
  ""exciting"": 3,
  ""strong_visual"": 3,
  ""arousing"": 3,
  ""involving"": 3,
  ""stimulating"": 3,
  ""powerful_impact"": 3,
  ""goosebump"": 2,
  ""intense"": 2,
  ""dramatic"": 2,
  ""strong_soundtrack"": 2,
  ""strong_soundeffect"": 2,
  ""creative"": 2,
  ""graphic"": 2
}
```",4.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,3,3,3,3,3,3,3,2,2,2,2,2,2,2,4,4,4
25,84,1_66,56,Male,White or Caucasian,3.0,5.0,1.875,4.588235294,4.882352941176471,,,,"{""novel"": 6, ""unique"": 6, ""unusual"": 6, ""emotional"": 5, ""exciting"": 5, ""strong_visual"": 6, ""arousing"": 4, ""involving"": 5, ""stimulating"": 5, ""powerful_impact"": 5, ""goosebump"": 4, ""intense"": 4, ""dramatic"": 4, ""strong_soundtrack"": 5, ""strong_soundeffect"": 5, ""graphic"": 3, ""creative"": 5}",7.0,7.0,5.0,6.0,7.0,2.0,6.0,1.0,1.0,5.0,6.0,5.0,7.0,1.0,5.0,4.0,3.0,5,4,5,5,5,5,6,5,4,3,5,4,4,5,6,6,6
26,40,1_26,32,Female,Black or African American,2.0,1.0,2.75,1.882352941,2.823529411764706,,,,"```json
{
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4,
  ""emotional"": 3,
  ""exciting"": 3,
  ""strong_visual"": 4,
  ""arousing"": 2,
  ""involving"": 3,
  ""stimulating"": 3,
  ""powerful_impact"": 3,
  ""creative"": 3,
  ""graphic"": 2,
  ""goosebump"": 2,
  ""intense"": 2,
  ""strong_soundtrack"": 2,
  ""strong_soundeffect"": 2,
  ""dramatic"": 2
}
```",1.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,3,2,3,3,3,3,4,2,2,2,3,2,2,2,4,4,4
26,89,1_70,32,Female,Black or African American,2.0,1.0,2.75,3.647058824,5.294117647058823,,,,"```json
{
  ""novel"": 6,
  ""unique"": 6,
  ""unusual"": 6,
  ""novel"": 6,
  ""emotional"": 6,
  ""exciting"": 5,
  ""strong_visual"": 5,
  ""creative"": 4,
  ""graphic"": 6,
  ""arousing"": 5,
  ""involving"": 5,
  ""intense"": 6,
  ""strong_soundtrack"": 4,
  ""dramatic"": 6,
  ""stimulating"": 5,
  ""strong_soundeffect"": 4,
  ""goosebump"": 5,
  ""powerful_impact"": 6
}
```",7.0,5.0,1.0,7.0,3.0,1.0,1.0,1.0,7.0,7.0,2.0,1.0,7.0,1.0,5.0,1.0,5.0,6,5,5,5,6,5,5,4,6,6,4,5,6,4,6,6,6
26,120,1_99,32,Female,Black or African American,2.0,1.0,2.75,3.588235294,4.0,,,,"```json
{
  ""novel"": 4,
  ""unique"": 4,
  ""emotional"": 4,
  ""exciting"": 4,
  ""strong_visual"": 4,
  ""arousing"": 4,
  ""involving"": 4,
  ""stimulating"": 4,
  ""strong_soundeffect"": 4,
  ""strong_soundtrack"": 4,
  ""dramatic"": 4,
  ""intense"": 4,
  ""goosebump"": 4,
  ""creative"": 4,
  ""graphic"": 4,
  ""unusual"": 4,
  ""novel"": 4
}
```",3.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,5.0,2.0,6.0,1.0,1.0,6.0,5.0,5.0,3.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
28,89,1_70,40,Female,Black or African American,5.0,6.0,1.75,2.058823529,4.9411764705882355,,,,"```json
{
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4,
  ""emotional"": 6,
  ""arousing"": 5,
  ""involving"": 6,
  ""exciting"": 5,
  ""powerful_impact"": 6,
  ""stimulating"": 5,
  ""strong_visual"": 5,
  ""strong_soundeffect"": 5,
  ""strong_soundtrack"": 4,
  ""dramatic"": 6,
  ""intense"": 5,
  ""goosebump"": 5,
  ""creative"": 4,
  ""graphic"": 5
}
```",4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,6,5,6,5,6,5,5,5,6,5,4,5,5,4,4,4,4
29,72,1_55,23,Female,Black or African American,2.0,3.0,2.25,2.352941176,3.0,,,,"```json
{
  ""novel"": 3,
  ""unique"": 3,
  ""unusual"": 3,
  ""emotional"": 3,
  ""exciting"": 3,
  ""strong_visual"": 3,
  ""arousing"": 3,
  ""involving"": 3,
  ""stimulating"": 3,
  ""powerful_impact"": 3,
  ""dramatic"": 3,
  ""intense"": 3,
  ""goosebump"": 3,
  ""graphic"": 3,
  ""creative"": 3,
  ""strong_soundtrack"": 3,
  ""strong_soundeffect"": 3
}
```",1.0,1.0,2.0,1.0,7.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,2.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
29,120,1_99,23,Female,Black or African American,2.0,3.0,2.25,4.352941176,4.0,,,,"```json
{
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4,
  ""emotional"": 4,
  ""exciting"": 4,
  ""strong_visual"": 4,
  ""arousing"": 4,
  ""involving"": 4,
  ""stimulating"": 4,
  ""powerful_impact"": 4,
  ""strong_soundtrack"": 4,
  ""strong_soundeffect"": 4,
  ""dramatic"": 4,
  ""intense"": 4,
  ""goosebump"": 4,
  ""creative"": 4,
  ""graphic"": 4
}
```",4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,7.0,5.0,5.0,5.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
30,111,1_90,38,Female,White or Caucasian,5.0,2.0,1.0,1.764705882,4.0,,,,"{""novel"": 4, ""unique"": 4, ""emotional"": 4, ""exciting"": 4, ""strong_visual"": 4, ""arousing"": 4, ""involving"": 4, ""stimulating"": 4, ""strong_soundeffect"": 4, ""strong_soundtrack"": 4, ""dramatic"": 4, ""intense"": 4, ""goosebump"": 4, ""graphic"": 4, ""creative"": 4, ""powerful_impact"": 4, ""unusual"": 4}",3.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
30,8,1_105,38,Female,White or Caucasian,5.0,2.0,1.0,2.117647059,3.1176470588235294,,,,"```json
{
  ""novel"": 4,
  ""unique"": 4,
  ""emotional"": 3,
  ""exciting"": 3,
  ""strong_visual"": 3,
  ""powerful_impact"": 3,
  ""arousing"": 3,
  ""involving"": 3,
  ""stimulating"": 3,
  ""strong_soundeffect"": 3,
  ""dramatic"": 3,
  ""intense"": 3,
  ""strong_soundtrack"": 3,
  ""creative"": 3,
  ""graphic"": 3,
  ""goosebump"": 3,
  ""unusual"": 3
}
```",5.0,1.0,5.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
32,40,1_26,53,Female,Black or African American,3.0,3.0,2.125,1.823529412,2.9411764705882355,,,,"```json
{
  ""novel"": 4,
  ""unique"": 5,
  ""unusual"": 4,
  ""emotional"": 3,
  ""exciting"": 3,
  ""strong_visual"": 4,
  ""arousing"": 2,
  ""involving"": 3,
  ""stimulating"": 3,
  ""powerful_impact"": 3,
  ""creative"": 4,
  ""graphic"": 2,
  ""goosebump"": 2,
  ""intense"": 2,
  ""dramatic"": 2,
  ""strong_soundtrack"": 2,
  ""strong_soundeffect"": 2
}
```",4.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3,2,3,3,3,3,4,2,2,2,4,2,2,2,4,5,4
33,8,1_105,48,Female,White or Caucasian,3.0,6.0,2.875,1.235294118,4.0,,,,"{""novel"": 4, ""unique"": 4, ""emotional"": 4, ""exciting"": 4, ""strong_visual"": 4, ""arousing"": 4, ""involving"": 4, ""stimulating"": 4, ""strong_soundeffect"": 4, ""strong_soundtrack"": 4, ""dramatic"": 4, ""intense"": 4, ""goosebump"": 4, ""graphic"": 4, ""creative"": 4, ""unusual"": 4, ""novel"": 4}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
33,84,1_66,48,Female,White or Caucasian,3.0,6.0,2.875,1.176470588,5.117647058823529,,,,"{""novel"": 6, ""unique"": 6, ""unusual"": 6, ""emotional"": 5, ""exciting"": 5, ""strong_visual"": 6, ""arousing"": 4, ""involving"": 5, ""stimulating"": 5, ""powerful_impact"": 5, ""goosebump"": 5, ""intense"": 5, ""dramatic"": 5, ""strong_soundtrack"": 5, ""strong_soundeffect"": 5, ""graphic"": 4, ""creative"": 5}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5,4,5,5,5,5,6,5,5,4,5,5,5,5,6,6,6
34,97,1_78,55,Female,White or Caucasian,2.0,6.0,2.75,1.0,4.0,,,,"```json
{
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4,
  ""emotional"": 4,
  ""exciting"": 4,
  ""strong_visual"": 4,
  ""arousing"": 4,
  ""involving"": 4,
  ""stimulating"": 4,
  ""powerful_impact"": 4,
  ""strong_soundeffect"": 4,
  ""strong_soundtrack"": 4,
  ""dramatic"": 4,
  ""intense"": 4,
  ""goosebump"": 4,
  ""creative"": 4,
  ""graphic"": 4
}
```",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
36,120,1_99,36,Female,White or Caucasian,5.0,3.0,2.625,4.0,3.9411764705882355,,,,"```json
{
  ""novel"": 5,
  ""unique"": 6,
  ""unusual"": 5,
  ""emotional"": 4,
  ""exciting"": 5,
  ""strong_visual"": 4,
  ""arousing"": 3,
  ""involving"": 4,
  ""stimulating"": 4,
  ""powerful_impact"": 4,
  ""strong_soundeffect"": 4,
  ""strong_soundtrack"": 5,
  ""dramatic"": 4,
  ""intense"": 3,
  ""goosebump"": 2,
  ""creative"": 4,
  ""graphic"": 1
}
```",3.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4,3,4,5,4,4,4,4,4,1,4,2,3,5,5,6,5
